team, year, class, status, gender
Walt Whitman, 1983, AA, Finalist, Boys
Loch Raven, 1983, A, Champion, Boys
Robert E. Peary, 1983, A, Finalist, Boys
Glenelg, 1983, B, Champion, Boys
Atholton, 1983, B, Finalist, Boys
Middletown, 1983, C, Champion, Boys
Beall, 1983, C, Finalist, Boys
Bowie, 1984, AA, Champion, Boys
Eleanor Roosevelt, 1984, AA, Finalist, Boys
Broadneck, 1984, A, Champion, Boys
Rockville, 1984, A, Finalist, Boys
Oakland Mills, 1984, B, Champion, Boys
Liberty, 1984, B, Finalist, Boys
Middletown, 1984, C, Champion, Boys
Boonsboro, 1984, C, Finalist, Boys
Rockville, 1985, AA, Champion, Boys
Bethesda-CC, 1985, AA, Finalist, Boys
North Carroll, 1985, A, Champion, Boys
Albert Einstein, 1985, A, Finalist, Boys
Oakland Mills, 1985, B, Champion, Boys
Liberty, 1985, B, Finalist, Boys
North Dorchester, 1985, C, Champion, Boys
Francis Scott Key, 1985, C, Finalist, Boys
Walt Whitman, 1986, AA, Champion, Boys
Eleanor Roosevelt, 1986, AA, Finalist, Boys
Parkville, 1986, A, Champion, Boys
Loch Raven, 1986, A, Finalist, Boys
Oakland Mills, 1986, B-C, Champion, Boys
Atholton, 1986, B-C, Finalist, Boys
Perry Hall, 1987, AA, Champion, Boys
Severna Park, 1987, AA, Finalist, Boys
Towson, 1987, A, Champion, Boys
Laurel, 1987, A, Finalist, Boys
Oakland Mills, 1987, B-C, Champion, Boys
Glenelg, 1987, B-C, Finalist, Boys
Walt Whitman, 1988, 4A, Champion, Boys
Westminster, 1988, 4A, Finalist, Boys
North Carroll, 1988, 3A, Champion, Boys
Loch Raven, 1988, 3A, Finalist, Boys
Oakland Mills, 1988, 1A-2A, Champion, Boys
Centennial, 1988, 1A-2A, Finalist, Boys
Westminster, 1989, 4A, Champion, Boys
Severna Park, 1989, 4A, Finalist, Boys
Oakland Mills, 1989, 3A, Champion, Boys
Centennial, 1989, 3A, Finalist, Boys
Atholton, 1989, 2A, Champion, Boys
Loch Raven, 1989, 2A, Finalist, Boys
Brunswick, 1989, 1A, Champion, Boys
Milford Mill, 1989, 1A, Finalist, Boys
Walt Whitman, 1990, 4A, Champion, Boys
Broadneck, 1990, 4A, Finalist, Boys
Richard Montgomery, 1990, 3A, Champion, Boys
Oakland Mills, 1990, 3A, Finalist, Boys
Loch Raven, 1990, 2A, Champion, Boys
Glenelg, 1990, 2A, Finalist, Boys
Francis Scott Key, 1990, 1A, Champion, Boys
Boonsboro, 1990, 1A, Finalist, Boys
Westminster, 1991, 4A, Champion, Boys
Quince Orchard, 1991, 4A, Finalist, Boys
Walt Whitman, 1991, 3A, Champion, Boys
Walter Johnson, 1991, 3A, Finalist, Boys
Glenelg, 1991, 2A, Champion, Boys
Oakland Mills, 1991, 2A, Finalist, Boys
Joppatowne, 1991, 1A, Champion, Boys
Francis Scott Key, 1991, 1A, Finalist, Boys
Quince Orchard, 1992, 4A, Champion, Boys
Westminster, 1992, 4A, Finalist, Boys
Walt Whitman, 1992, 3A, Champion, Boys
C. Milton Wright, 1992, 3A, Finalist, Boys
Oakland Mills, 1992, 2A, Champion, Boys
Hereford, 1992, 2A, Finalist, Boys
Joppatowne, 1992, 1A, Champion, Boys
Easton, 1992, 1A, Finalist, Boys
Quince Orchard, 1993, 4A, Champion, Boys
Westminster, 1993, 4A, Finalist, Boys
Centennial, 1993, 3A, Champion, Boys
C. Milton Wright, 1993, 3A, Finalist, Boys
Allegany, 1993, 2A, Champion, Boys
Oakland Mills, 1993, 2A, Finalist, Boys
Southern Garrett, 1993, 1A, Champion, Boys
Easton, 1993, 1A, Finalist, Boys
Quince Orchard, 1994, 4A, Champion, Boys
Perry Hall, 1994, 4A, Finalist, Boys
Seneca Valley, 1994, 3A, Champion, Boys
Centennial, 1994, 3A, Finalist, Boys
Oakland Mills, 1994, 2A, Champion, Boys
Liberty, 1994, 2A, Finalist, Boys
Southern Garrett, 1994, 1A, Champion, Boys
Wilde Lake, 1994, 1A, Finalist, Boys
Walt Whitman, 1995, 4A, Champion, Boys
Westminster, 1995, 4A, Finalist, Boys
Richard Montgomery, 1995, 3A, Champion, Boys
Damascus, 1995, 3A, Finalist, Boys
Fort Hill, 1995, 2A, Champion, Boys
Wilde Lake, 1995, 2A, Finalist, Boys
