f,YEAR,FINAL STANDING,GENDER,FINAL SCORE,COACH,CLASS,,,,,,,
FREDERICK,1999,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FREDERICK,2000,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FREDERICK,2007,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FREDERICK,2011,CHAMPION,GIRLS,NA,NA,NA,,,,,,,
FREDERICK,2012,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FREDERICK,2016,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FREDERICK,2017,CHAMPION,GIRLS,NA,NA,NA,,,,,,,
FREDERICK,2018,CHAMPION,GIRLS,NA,NA,NA,,,,,,,
FREDERICK,2019,CHAMPION,GIRLS,NA,NA,NA,,,,,,,
FREDERICK,2020,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FREDERICK,2023,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FREDERICK,2024,CHAMPION,BOYS,74-49,EMONTE HILL,4A,,,,,,,
FREDERICK DOUGLASS (B),1994,FINALIST,BOYS,NA,NA,NA,,,,,,,
FREDERICK DOUGLASS (B),2002,CHAMPION,BOYS,NA,NA,NA,,,,,,,
FREDERICK DOUGLASS (B),2004,CHAMPION,BOYS,NA,NA,NA,,,,,,,
FREDERICK DOUGLASS (PG),1963,CHAMPION,BOYS,NA,NA,NA,,,,,,,
FREDERICK DOUGLASS (PG),1966,CHAMPION,BOYS,NA,NA,NA,,,,,,,
